VFRにて日本時間の午後2時30分に離陸し、着陸地上空に午後4時00分に到着する計画のとき、飛行計画書第16項に記入するTOTAL EETで正しいものはどれか。,0400,1600,0130,0090,,3,201603,空中航法,11,,
VORのラジアルの説明で正しいものはどれか。,VOR局への磁方位である。,VOR局からの磁方位である。,VOR局からの真方位である。,VOR局への真方位である。,,2,201603,空中航法,12,,
偏差について正しいものはどれか。,同じ緯度ならどこでも同じ偏差である。,同じ経度ならどこでも同じ偏差である。,日本付近では偏差はおおよそ7°Eである。,偏差は経年により変化する場合がある。,,4,201603,空中航法,13,,
CH45度で飛行中、E駅が10時半の方角に見えた。このときの自機の位置として正しいものはどれか。,E駅の北,E駅の南,E駅の北西,E駅の南東,,2,201603,空中航法,14,,
次の図面記号(a)、(b)の意味について、その組み合わせとして正しいものはどれか。,特別管制区 VOR/DME,特別管制区 VORTAC,飛行制限区域 VOR/DME, 飛行制限区域 VORTAC,,4,201603,空中航法,15,,TRUE
スキューバダイビング後の潜函病(減圧病)に関する記述(a)、(b)について、その正誤の組み合わせとして正しいものはどれか。(1)~(4)の中から選べ。,誤 誤,誤 正,正 誤,正 正,,4,201603,空中航法,16,"スキューバによる潜水を行った後で飛行しようとする場合、(a)減圧浮上(コントロールされた浮上)を必要としない潜水の後で、機内気圧高度 8,000 ftまでの飛行を予定する前に必要とされる地上待機の時間は、少なくとも 12時間とされている。(b)8,000 ftを超える機内気圧高度の飛行の場合は、全てのスキューバダイビングの 後、飛行するまでに必要とされる地上待機の時間は少なくとも24時間とされて いる。",
視覚と明暗に関する記述(a)、(b)について、その正誤の組み合わせとして正しいものはどれか。(1)~(4)の中から選べ。,誤 誤,誤 正,正 誤,正 正,,4,201603,空中航法,17,(a)暗闇では視覚は明るさに対して鋭敏となる。これを暗順応性という。 (b)暗順応を得るためには真暗闇の中では少なくとも30分を要する。(a) (b),
空中衝突に関する記述(a)、(b)について、その正誤の組み合わせとして正しい ものはどれか。(1)~(4)の中から選べ。,誤 誤,誤 正,正 誤,正 正,,4,201603,空中航法,18,(a)両機が直線飛行を行っており、相手機が衝突コース上にあるときは、自機の針路を 変えるだけで衝突を回避することができる。(b)相手機が衝突コース上にあるときは、発見は遅れがちになる。,
飛行中の過呼吸について誤りはどれか。,過呼吸は飛行中緊迫した状況に遭遇したときに無意識に起きる心身の状態の一つである。,過呼吸は体内から必要以上に炭酸ガスを排出してしまうため、パイロットは頭がふらふらしたり、息苦しくなったり、眠くなったり、激しい耳鳴りや悪寒の症状を起こす,過呼吸の兆候が現れたら、呼吸の速さと深さを自分で意識的に調節してゆけば通常は2~3分で治まる。,過呼吸と低酸素症とは初期の兆候がよく似ているが両者は同時に発症することはない。,,4,201603,空中航法,19,,
時刻に関する記述(a)、(b)について、その正誤の組み合わせとして正しい ものはどれか。,誤 誤,誤 正,正 誤,正 正,,4,201603,空中航法,20,(a)協定世界時に9時間を加えると日本標準時となる。 (b)子午線135°Eの地方平時を日本標準時としている。,
次の通信のうち優先順位が最も低いものはどれか。,遭難通信,航行援助に関する通信,航空交通管制に関する通信,航空機の運航に関する通信,,4,201607,航空通信,1,,
航空保安無線施設の説明で誤りはどれか。,ILS(instrument landing system) は最終進入中の航空機に滑走路に対する正確な進入経路と降下角を示す施設である。,DME(distance measuring equipment) は、航空機までの距離を測定しレーダー画面上に表示する装置である。,TACAN(tactical air navigation)の方位信号の作動原理はVORのそれとはまったく異なったものであるが機上DME装置によってこの施設をDME局として利用できる。,VOR(VHF omni-directional radio range) は超短波全方向式無線標識施設であり、基本信号と方位による可変信号とを発射している。,,2,201607,航空通信,2,,
航空機による遭難呼び出し及び遭難通信の最初の送信に原則として使用される周波数で正しいものはどれか。,121.50 MHz,243.0 MHz,現在使用中の指定された周波数,122.60 MHz,,3,201607,航空通信,3,,
有視界飛行方式で飛行する場合で、通過時に管制機関の許可が必要とされるものはどれか。,航空交通管制圏,航空交通情報圏,ターミナルコントロールエリア,民間訓練試験空域,,1,201607,航空通信,4,,
有視界飛行方式において、飛行計画に記載する移動開始時刻について正しいものはどれか。,離陸予定時刻,搭乗予定時刻,ブロックアウト(ランプアウト)の予定時刻,離陸滑走開始予定時刻,,3,201607,航空通信,5,,
管制圏内における特別有視界飛行方式について誤りはどれか。,空港等が有視界気象状態であっても飛行中、有視界気象状態が維持できない場合で特別有視界飛行方式の基準を満たすときは操縦者からの要求により許可が発出される。,雲から離れて飛行しなければならない。,"飛行視程1,000m以上を維持して飛行しなければならない。",地表または水面を引き続き視認できる状態で飛行しなければならない。,,3,201607,航空通信,6,,
福岡FIR内を飛行する航空機における高度計規正方式について誤りはどれか。,出発地のQNHが入手できない場合は29.92inHgをセットする。,離陸前にタワー等からQNHを入手した場合は当該QNHをセットする。,"平均海面上14,000ft未満は最寄りの飛行経路上の地点のQNHをセットする。","平均海面上14,000ft以上はQNEをセットする。",,1,201607,航空通信,7,,
有視界飛行方式における通信機故障の対処について誤りはどれか。,受信機のみの故障が考えられるので一方送信を行う。,VFRを維持して着陸できる最寄りの飛行場に着陸する。,周波数切り換え直後であれば前の周波数に戻す。,トランスポンダーを7500にセットする。,,4,201607,航空通信,8,,
"MH 020°でMC 030°を飛行中「Traffic, one o'clock」との情報を管制機関より受けた場合、当該航空機は自機の機首方位からどの方向に見えるか。",右30度前方,右40度前方,正面,左10度前方,,2,201607,航空通信,9,,
